ortho	phon	lemme	cgram	genre	nombre	
désinformations	dez5fORmasj§	désinformation	NOM	f	p	
désinsectisation	dez5sektizasj§	désinsectisation	NOM	f	s	
désintégrateur	dez5tegRat9R	désintégrateur	NOM	m	s	
désintégration	dez5tegRasj§	désintégration	NOM	f	s	
désintégrations	dez5tegRasj§	désintégration	NOM	f	p	
désintéressement	dez5teREs°m@	désintéressement	NOM	m	s	
désintérêt	dez5teRE	désintérêt	NOM	m	s	
désintoxication	dez5tOksikasj§	désintoxication	NOM	f	s	
désinvolture	dez5vOltyR	désinvolture	NOM	f	s	
désinvoltures	dez5vOltyR	désinvolture	NOM	f	p	
désir	deziR	désir	NOM	m	s	
désirabilité	deziRabilite	désirabilité	NOM	f	s	
désiré	deziRe	désiré	NOM	m	s	
désirés	deziRe	désiré	NOM	m	p	
désirs	deziR	désir	NOM	m	p	
désistement	dezist°m@	désistement	NOM	m	s	
desk	dEsk	desk	NOM	m	s	
désobéissance	dezobeis@s	désobéissance	NOM	f	s	
désobéissances	dezobeis@s	désobéissance	NOM	f	p	
désobéissante	dezobeis@t	désobéissant	NOM	f	s	
désobligeance	dezobliZ@s	désobligeance	NOM	f	s	
désodorisant	dezodoRiz@	désodorisant	NOM	m	s	
désodorisants	dezodoRiz@	désodorisant	NOM	m	p	
désoeuvre	dez9vR	désoeuvre	NOM	f	s	
désoeuvré	dez9vRe	désoeuvré	NOM	m	s	
désoeuvrée	dez9vRe	désoeuvré	NOM	f	s	
désoeuvrées	dez9vRe	désoeuvré	NOM	f	p	
désoeuvrement	dez9vR°m@	désoeuvrement	NOM	m	s	
désoeuvrements	dez9vR°m@	désoeuvrement	NOM	m	p	
désoeuvrés	dez9vRe	désoeuvré	NOM	m	p	
désolation	dezolasj§	désolation	NOM	f	s	
désolations	dezolasj§	désolation	NOM	f	p	
désorbitation	dezORbitasj§	désorbitation	NOM	f	s	
désordonné	dezORdone	désordonné	NOM	m	s	
désordonnée	dezORdone	désordonné	NOM	f	s	
désordonnées	dezORdone	désordonné	NOM	f	p	
désordonnés	dezORdone	désordonné	NOM	m	p	
désordre	dezORdR	désordre	NOM	m	s	
désordres	dezORdR	désordre	NOM	m	p	
désorganisateur	dezORganizat9R	désorganisateur	NOM	m	s	
désorganisation	dezORganizasj§	désorganisation	NOM	f	s	
désorientation	dezoRj@tasj§	désorientation	NOM	f	s	
désossage	dezosaZ	désossage	NOM	m	s	
désossement	dezOs°m@	désossement	NOM	m	s	
désosseur	dezos9R	désosseur	NOM	m	s	
désoxygénation	dezOksiZenasj§	désoxygénation	NOM	f	s	
desperado	despeRado	desperado	NOM	m	s	
desperados	despeRado	desperado	NOM	m	p	
déspiritualisation	despiRit8alizasj§	déspiritualisation	NOM	f	s	
despote	despOt	despote	NOM		s	
despotes	despOt	despote	NOM		p	
despotisme	despotizm	despotisme	NOM	m	s	
desquamation	deskwamasj§	desquamation	NOM	f	s	
dessaisissement	desezis°m@	dessaisissement	NOM	m	s	
dessèchement	desES°m@	dessèchement	NOM	m	s	
dessein	des5	dessein	NOM	m	s	
desseins	des5	dessein	NOM	m	p	
desserrage	desERaZ	desserrage	NOM	m	s	
desserre	desER	desserre	NOM	f	s	
dessert	desER	dessert	NOM	m	s	
desserte	desERt	desserte	NOM	f	s	
dessertes	desERt	desserte	NOM	f	p	
desserts	desER	dessert	NOM	m	p	
desservant	desERv@	desservant	NOM	m	s	
dessiccation	desikasj§	dessiccation	NOM	f	s	
dessin	des5	dessin	NOM	m	s	
dessinateur	desinat9R	dessinateur	NOM	m	s	
dessinateurs	desinat9R	dessinateur	NOM	m	p	
dessinatrice	desinatRis	dessinateur	NOM	f	s	
dessiné	desine	dessiné	NOM	m	s	
dessinés	desine	dessiné	NOM	m	p	
dessins	des5	dessin	NOM	m	p	
dessous	d°su	dessous	NOM	m		
dessous-de-bras	d°sud°bRa	dessous-de-bras	NOM	m		
dessous-de-plat	d°sud°pla	dessous-de-plat	NOM	m		
dessous-de-table	d°sud°tabl	dessous-de-table	NOM	m		
dessous-de-verre	d°sud°vER	dessous-de-verre	NOM	m		
dessus	d°sy	dessus	NOM	m		
dessus-de-lit	d°syd°li	dessus-de-lit	NOM	m		
déstabilisation	destabilizasj§	déstabilisation	NOM	f	s	
déstalinisation	destalinizasj§	déstalinisation	NOM	f	s	
destin	dest5	destin	NOM	m	s	
destinataire	destinatER	destinataire	NOM		s	
destinataires	destinatER	destinataire	NOM		p	
destination	destinasj§	destination	NOM	f	s	
destinations	destinasj§	destination	NOM	f	p	
destinatrice	destinatRis	destinateur	NOM	f	s	
destinée	destine	destinée	NOM	f	s	
destinées	destine	destinée	NOM	f	p	
destins	dest5	destin	NOM	m	p	
destitution	destitysj§	destitution	NOM	f	s	
déstockage	destOkaZ	déstockage	NOM	m	s	
destrier	destRije	destrier	NOM	m	s	
destriers	destRije	destrier	NOM	m	p	
destroyer	destRwaje	destroyer	NOM	m	s	
destroyers	destRwaje	destroyer	NOM	m	p	
destructeur	destRykt9R	destructeur	NOM	m	s	
destructeurs	destRykt9R	destructeur	NOM	m	p	
destruction	destRyksj§	destruction	NOM	f	s	
destructions	destRyksj§	destruction	NOM	f	p	
destructrice	destRyktRis	destructeur	NOM	f	s	
destructrices	destRyktRis	destructeur	NOM	f	p	
déstructuration	destRyktyRasj§	déstructuration	NOM	f	s	
désuétude	des8etyd	désuétude	NOM	f	s	
désunion	dezynj§	désunion	NOM	f	s	
désynchronisation	des5kROnizasj§	désynchronisation	NOM	f	s	
détachant	detaS@	détachant	NOM	m	s	
détachants	detaS@	détachant	NOM	m	p	
détaché	detaSe	détaché	NOM	m	s	
détachée	detaSe	détaché	NOM	f	s	
détachées	detaSe	détaché	NOM	f	p	
détachement	detaS°m@	détachement	NOM	m	s	
détachements	detaS°m@	détachement	NOM	m	p	
détachés	detaSe	détaché	NOM	m	p	
détacheur	detaS9R	détacheur	NOM	m	s	
détail	detaj	détail	NOM	m	s	
détaillant	detaj@	détaillant	NOM	m	s	
détaillants	detaj@	détaillant	NOM	m	p	
détails	detaj	détail	NOM	m	p	
détartrage	detaRtRaZ	détartrage	NOM	m	s	
détartrant	detaRtR@	détartrant	NOM	m	s	
détaxe	detaks	détaxe	NOM	f	s	
détaxes	detaks	détaxe	NOM	f	p	
détecteur	detEkt9R	détecteur	NOM	m	s	
détecteurs	detEkt9R	détecteur	NOM	m	p	
détection	detEksj§	détection	NOM	f	s	
détections	deteksj§	détection	NOM	f	p	
détective	detEktiv	détective	NOM		s	
détective-conseil	detEktivk§sEj	détective-conseil	NOM		s	
détectives	detEktiv	détective	NOM		p	
détectives-conseils	detEktivk§sEj	détective-conseil	NOM		p	
dételage	det°laZ	dételage	NOM	m	s	
détendeur	det@d9R	détendeur	NOM	m	s	
détente	det@t	détente	NOM	f	s	
détentes	det@t	détente	NOM	f	p	
détenteur	det@t9R	détenteur	NOM	m	s	
détenteurs	det@t9R	détenteur	NOM	m	p	
détention	det@sj§	détention	NOM	f	s	
détentions	det@sj§	détention	NOM	f	p	
détentrice	det@tRis	détenteur	NOM	f	s	
détenu	dEt°ny	détenu	NOM	m	s	
détenue	dEt°ny	détenu	NOM	f	s	
détenues	det°ny	détenu	NOM	f	p	
détenus	det°ny	détenu	NOM	m	p	
détergent	detERZ@	détergent	NOM	m	s	
détergents	detERZ@	détergent	NOM	m	p	
