adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
12, RUE GOUTHIERE;2015;ELOGIE;3;1;;2;;acquisition réhabilitation;;75013;logement familial;48.820307, 2.351226
12, RUE JEAN BART;2016;RIVP;8;4;;4;;construction neuve;;75006;logement familial;48.847374, 2.330934
120 RUE DU CHEMIN VERT;2009;PARIS HAB;14;9;;3;2;acquisition réhabilitation;;75011;logement familial;48.861919, 2.383825
120-126, AVENUE DE CHOISY 18-20, RUE DU DOCTEUR MAGNAN;2006;RIVP;32;;;;32;acquisition réhabilitation;;75013;résidence pour étudiants;48.826774, 2.360873
12-14, RUE DU PLATRE;2014;PARIS HAB;25;11;;6;8;acquisition conventionnement;;75004;logement familial;48.859324, 2.354833
12-14-16, RUE DELAITRE;2002;SEMEA XV;19;19;;;;acquisition réhabilitation;;75020;logement familial;48.867536, 2.387379
123-125, BD MASSENA;2011;FIAC;2;2;;;;construction neuve;;75013;logement familial;48.819147, 2.362478
125, BOULEVARD DE CHARONNE;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75011;logement familial;48.857122, 2.392874
126 AV DE SAINT OUEN;2008;SIEMP;4;4;;;;acquisition réhabilitation;;75018;logement familial;48.89543, 2.328427
126 RUE DE CHARONNE;2005;FREHA;4;;;4;;acquisition réhabilitation;;75011;logement familial;48.855015, 2.386935
127-131 RUE DU CHEMIN VERT 106-108 AVENUE DE LA REPUBLIQUE;2016;PARIS HAB;23;7;;11;5;construction neuve;;75011;logement familial;48.864767, 2.376384
128 RUE DE TOLBIAC;2007;RIVP;11;11;;;;acquisition réhabilitation;;75013;logement familial;48.826255, 2.359028
129 BIS RUE SAINT CHARLES (COUR);2004;SADIF;6;;;6;;construction neuve;;75015;logement familial;48.843925, 2.283359
129 RUE SAINT MAUR;2009;RIVP;31;21;;3;7;acquisition conventionnement;;75011;logement familial;48.867063, 2.375997
13 RUE DE L'ORILLON;2010;LOG.FR.;14;14;;;;construction neuve;;75011;logement familial;48.869779, 2.37479
13 RUE GANDON;2001;RIVP;99;39;;;60;acquisition conventionnement;;75013;logement familial;48.821632, 2.360858
13, AVENUE DE SAXE;2013;EHD;1;;;;1;construction neuve;;75005;logement familial;48.837732, 2.351521
13, RUE BELLOT;2005;SIEMP;4;;;;4;construction neuve;;75019;logement familial;48.886172, 2.366998
13, RUE DOUDEAUVILLE;2007;SIEMP;6;;;6;;construction neuve;;75018;logement familial;48.888831, 2.358348
13, RUE JULES SIMON;2015;ELOGIE;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.840311, 2.293153
1-3, RUE LABOIS ROUILLON;2007;LOGIREP;46;;;46;;construction neuve;;75019;foyer pour jeunes travailleurs ou résidence pour jeunes;48.893312, 2.372846
13, RUE LEOPOLD BELLAN;2007;PARIS HAB;21;13;;8;;acquisition réhabilitation;;75002;logement familial;48.866519, 2.345802
1-3, RUE POUCHET - 164 AVENUE DE CLICHY;2008;SABLIERE;35;18;;8;9;acquisition conventionnement;;75017;logement familial;48.88403, 2.327014
130 BIS, BD DIDEROT - 11 COUR SAINT ELOI;2007;RIVP;8;8;;;;construction neuve;;75012;logement familial;48.847427, 2.387874
131-133, RUE CASTAGNARY;2007;SEMPSEINE;10;6;;2;2;construction neuve;;75015;logement familial;48.830023, 2.30283
13-15, RUE DU NORD;2007;SIEMP;3;3;;;;construction neuve;;75018;logement familial;48.892798, 2.351324
13-17, RUE DAREAU;2005;PARIS HAB;52;52;;;;construction neuve;;75014;résidence pour étudiants;48.831372, 2.338124
132 RUE DU CHEMIN VERT;2012;SNL;1;;;1;;acquisition réhabilitation;;75011;logement familial;48.862198, 2.385063
13-21 AV PTE DES LILAS, 6 AV FONCK LOTS F2- F3;2003;SEMIDEP;268;268;;;;construction neuve;;75019;résidence pour étudiants;48.878889, 2.408827
134, BD DAVOUT;2012;RIVP;68;37;;6;25;construction neuve;;75020;logement familial;48.860829, 2.409618
137, RUE HAXO;2003;SAGI;6;;;;6;construction neuve;;75019;logement familial;48.877725, 2.401677
138, AVENUE DE CLCIHY;2015;ADOMA;6;;;6;;construction neuve;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.890808, 2.320065
139 RUE DE L'OUEST;2001;RIVP;192;96;;;96;acquisition conventionnement;;75014;logement familial;48.832599, 2.313565
139-141, RUE CASTAGNARY 109 RUE BRANCION;2007;SEMPSEINE;16;8;;4;4;construction neuve;;75015;logement familial;48.830104, 2.30223
14 A 16 AVENUE DE SAINT MANDE;2004;PARIS HAB;64;64;;;;construction neuve;;75012;logement familial;48.845154, 2.398185
14, PLACE DU DOCTEUR PAUL MICHAUX;2010;ELOGIE;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.839437, 2.254915
14, PLACE DU DOCTEUR PAUL MICHAUX;2011;ELOGIE;2;2;;;;acquisition réhabilitation;;75016;logement familial;48.839437, 2.254915
14, RUE CAMULOGENE;2007;SIEMP;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.829345, 2.302707
14, RUE DU LOIRET;2014;SABLIERE;100;49;;51;;construction neuve;;75013;foyer pour jeunes travailleurs ou résidence pour jeunes;48.825798, 2.378724
14, RUE DU TAGE;2013;RIVP;4;;;;4;acquisition conventionnement;;75013;logement familial;48.822219, 2.358
6, CITE WAUXHALL;2014;SNL-PROLOG;1;;;1;;acquisition réhabilitation;;75010;logement familial;48.869242, 2.362927
6, IMPASSE DES ANGLAIS;2008;RIVP;27;;;27;;acquisition réhabilitation;;75019;résidence sociale pour démuni;48.888872, 2.376028
6, PASSAGE DE DANTZIG;2015;SNI;32;;;;32;construction neuve;;75015;logement familial;48.831926, 2.296714
6, RUE BRILLAT SAVARIN;2015;ADOMA;3;;;3;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;foyer de travailleurs migrants;48.821797, 2.351933
