adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
6, RUE DE LA BOETIE;2013;PARIS HAB;1;1;;;;construction neuve;;75008;logement familial;48.874453, 2.31843
6, RUE DES LYANES;2008;SIEMP;2;;;2;;acquisition réhabilitation;;75020;logement familial;48.863039, 2.406033
6, RUE JULES DUMIEN;2010;PARIS HAB;19;13;;2;4;acquisition réhabilitation;;75020;logement familial;48.869419, 2.40101
6, RUE JULIEN LACROIX;2012;SIEMP;21;5;;3;13;acquisition réhabilitation;;75020;logement familial;48.868797, 2.386054
6, RUE MONTESQUIEU;2011;ELOGIE;36;;;36;;construction neuve;;75001;centre d'hébergement d'urgence;48.863146, 2.338958
6, RUE VARET;2008;RIVP;5;5;;;;construction neuve;;75015;logement familial;48.839838, 2.280952
60, RUE NOTRE DAME DE NAZARETH;2001;ALLIANCE;27;;;27;;acquisition réhabilitation;;75003;logement familial;48.867683, 2.357107
61 BIS ET 63, RUE DE L'OURCQ;2013;IMM 3F;14;6;;2;6;acquisition réhabilitation;;75019;logement familial;48.891869, 2.379821
61 BOULEVARD SAINT JACQUES;2005;PARIS HAB;124;124;;;;acquisition réhabilitation;projet abandonné refinancé;75014;résidence pour étudiants;48.832977, 2.335575
61, AVENUE DENFERT ROCHEREAU;2010;PARIS HAB;8;8;;;;acquisition conventionnement;;75014;logement familial;48.837787, 2.335955
6-10-14 AV PORTE DE VINCENNES;2010;EFIDIS;159;;;;159;acquisition conventionnement;;75012;logement familial;48.84648, 2.4131
6-16, RUE MOUSSET ROBERT;2016;RIVP;24;8;;13;3;acquisition réhabilitation;;75012;logement familial;48.843149, 2.404074
62 RUE DE LA VERRERIE ET 15 RUE DU RENARD;2008;ELOGIE;7;7;;;;acquisition conventionnement;;75004;logement familial;48.85848, 2.351739
62, RUE DES BERGERS;2007;SIEMP;6;;;6;;acquisition réhabilitation;;75015;logement familial;48.841953, 2.280221
62, RUE DU DESSOUS DES BERGES;2010;PARIS HAB;28;11;;3;14;construction neuve;;75013;logement familial;48.827808, 2.373688
63 A 75 BD DIDEROT 20 A 20BIS RUE DE REUILLY (CASERNE DE REUILLY LOT B1);2015;PARIS HAB;22;6;;10;6;construction neuve;;75012;logement familial;48.848091, 2.384033
63, BD KELLERMANN;2015;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.820705, 2.350584
63, RUE DE LAGNY;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.849042, 2.40573
63-63BIS, RUE DE LA CHAPELLE;2012;BATIGERE;9;;;;9;acquisition réhabilitation;;75018;logement familial;48.89583, 2.358827
64, BD DE LA CHAPELLE;2009;SIEMP;10;;;10;;construction neuve;projet abandonné refinancé;75018;centre d'hébergement d'urgence;48.884281, 2.354956
66, RUE RENE BINET (ILOT BINET TRANCHE 2);2012;PARIS HAB;50;;15;;35;construction neuve;;75018;logement familial;48.899199, 2.336737
66-70, RUE REAUMUR;2005;IMM 3F;21;17;;4;;acquisition conventionnement;;75003;logement familial;48.865357, 2.357046
68, RUE CASTAGNARY;2004;SEMEA XV;5;;;5;;construction neuve;;75015;logement familial;48.832246, 2.307647
68, RUE DE L'OURCQ;2006;FONCIERE;56;;;;56;construction neuve;;75019;logement familial;48.893482, 2.376902
68, RUE DU MOULIN VERT;2016;SIEMP;1;;;1;;acquisition réhabilitation;;75014;logement familial;48.831063, 2.320606
68, RUE POUCHET;2014;RES.L.F.;6;;;;6;construction neuve;;75017;logement familial;48.895728, 2.321871
69, AVENUE DU DOCTEUR ARNOLD NETTER;2002;ANTIN;35;35;;;;acquisition conventionnement;;75012;logement familial;48.845752, 2.405816
69-75, RUE DE PICPUS;2014;PSOEURSPAUVRES;67;;;;67;construction neuve;;75012;établissement d'hébergement pour personnes âgées dépendantes;48.841264, 2.398821
7 ALLEE MARIE LAURENT;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.849873, 2.40367
7 ET 8, RUE PAUL BODIN;2013;ELOGIE;2;2;;;;acquisition conventionnement;;75017;logement familial;48.893014, 2.317671
7 RUE PAUL BODIN;2009;ELOGIE;1;1;;;;acquisition réhabilitation;;75017;logement familial;48.893245, 2.317203
7, PLACE EMILE LANDRIN;2013;FRANC.HAB.;24;;;24;;construction neuve;;75020;maison relais;48.864023, 2.400018
7, RUE ALBERT;2003;SAPE;15;;;;15;construction neuve;;75013;logement familial;48.824024, 2.37321
7, RUE ALBERT CAMUS;2013;SIEMP;95;63;;;32;acquisition conventionnement;;75010;logement familial;48.877983, 2.369103
7, RUE ERNEST LEFEBURE;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75012;logement familial;48.83713, 2.408968
7, RUE MARGUERIN;2016;AXIMO;1;1;;;;acquisition conventionnement;;75014;logement familial;48.827225, 2.328706
7, RUE SAINT PAUL 12 ET 18, RUE DES JARDINS SAINT PAUL;2011;RIVP;17;17;;;;acquisition conventionnement;;75004;logement familial;48.853429, 2.360672
70 RUE DES VIGNOLES;2006;SIEMP;5;;;5;;acquisition réhabilitation;;75020;logement familial;48.855403, 2.401786
70, RUE MYRHA;2010;RIVP;13;;13;;;construction neuve;;75018;logement familial;48.886771, 2.350897
70, RUE RENE BOULANGER;2012;RIVP;5;4;;1;;acquisition réhabilitation;;75010;logement familial;48.869225, 2.35798
70-78, RUE LEBLANC 1-3, RUE ERNEST HEMINGWAY;2002;SEMEA XV;46;;;;46;construction neuve;;75015;logement familial;
71 BIS RUE DE GERGOVIE;2009;RIVP;12;6;;2;4;acquisition réhabilitation;;75014;logement familial;48.831598, 2.31819
71 RUE DE CASTAGNARY;2013;PARIS HAB;103;;;103;;construction neuve;;75015;foyer pour jeunes travailleurs ou résidence pour jeunes;48.832117, 2.307494
71 RUE DE CASTAGNARY;2013;PARIS HAB;44;;;44;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75015;site de desserrement de foyer de travailleur migrant;48.832117, 2.307494
71 RUE DES AMANDIERS;2011;ELOGIE;64;;;;64;acquisition réhabilitation;;75020;logement familial;48.86585, 2.389622
71, RUE DE LA CONVENTION;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.842782, 2.284474
71, RUE DES HAIES;2007;SIEMP;6;6;;;;acquisition réhabilitation;;75020;logement familial;48.854701, 2.403145
71, RUE RIQUET;2008;SIEMP;6;3;;3;;acquisition réhabilitation;;75018;logement familial;48.889923, 2.362209
7-15 PASSAGE DE LA BRIE;2007;SIEMP;12;2;;;10;construction neuve;;75019;logement familial;48.880981, 2.372
7-16 VILLA DES BUTTES CHAUMONT;2007;RIVP;42;;;;42;acquisition conventionnement;;75019;logement familial;48.879186, 2.387537
71-73, RUE DE LA REUNION;2001;PARIS HAB;8;8;;;;construction neuve;;75020;logement familial;48.856007, 2.400671
72, RUE CASTAGNARY 2, RUE DE L'HARMONIE;2005;SEMEA XV;10;;;10;;construction neuve;;75015;logement familial;48.832065, 2.307443
72, RUE DU CHATEAU D'EAU;2008;RIVP;26;14;;9;3;construction neuve;;75010;logement familial;48.87281, 2.354783
72-72BIS, RUE PHILIPPE DE GIRARD;2010;SIEMP;24;14;;5;5;construction neuve;;75018;logement familial;48.887977, 2.360806
72-86, RUE DES AMANDIERS 1, RUE ELISA BOREY;2016;SIEMP;94;;;;94;acquisition conventionnement;;75020;logement familial;48.866212, 2.390203
72BIS RUE RIQUET 2 RUE BUZELIN;2006;SIEMP;3;3;;;;construction neuve;;75018;logement familial;48.889965, 2.363989
73, BD DE LA VILLETTE;2010;SIEMP;14;10;;4;;construction neuve;;75010;logement familial;48.876676, 2.371402
74 RUE DE LA VERRERIE;2010;ELOGIE;7;7;;;;construction neuve;;75004;logement familial;48.858741, 2.351042
74, RUE DES HAIES;2005;PARIS HAB;17;;;;17;acquisition réhabilitation;;75020;résidence pour étudiants;48.853846, 2.402333
74, RUE DES POISSONNIERS;2010;SIEMP;5;5;;;;acquisition réhabilitation;;75018;logement familial;48.890875, 2.351611
74-76, AVENUE FELIX FAURE;2012;RIVP;8;4;;2;2;construction neuve;;75015;logement familial;48.839948, 2.28475
75, BOULEVARD KELLERMANN;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.820324, 2.348387
75, RUE DE LA CROIX NIVERT;2007;SIEMP;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.844013, 2.296311
75-77 RUE SAINT CHARLES;2009;PARIS HAB;38;24;;2;12;acquisition conventionnement;;75015;logement familial;48.847562, 2.286404
76 RUE DE CHARONNE;2008;ELOGIE;9;;5;4;;construction neuve;;75011;logement familial;48.853469, 2.380158
76, RUE JULIEN LACROIX;2013;SIEMP;8;3;;;5;construction neuve;;75020;logement familial;48.872618, 2.382373
7-7 BIS, RUE SCHEFFER;2009;PARIS HAB;37;20;;2;15;acquisition conventionnement;;75016;logement familial;48.860649, 2.283907
77 RUE CURIAL;2006;PARIS HAB;8;;;;8;construction neuve;;75019;foyer pour personnes handicapées;48.893358, 2.373262
77 RUE ORFILA;2008;SIEMP;5;5;;;;construction neuve;;75020;logement familial;48.867868, 2.399554
77 RUE RIQUET;2009;SIEMP;4;4;;;;acquisition réhabilitation;;75018;logement familial;48.890023, 2.361198
77, RUE DE LONGCHAMP;2013;PARIS HAB;34;20;;3;11;acquisition réhabilitation;;75016;logement familial;48.865228, 2.284879
77-79, RUE LAUGIER ET 12, RUE GALVANI;2010;PARIS HAB;1;1;;;;acquisition conventionnement;;75017;logement familial;48.884537, 2.291712
78-82 RUE D'AUTEUIL;2009;PARIS HAB;53;;17;36;;construction neuve;projet abandonné refinancé;75016;logement familial;48.847766, 2.264925
78-84, RUE DU CHATEAU DES RENTIERS 71-73, RUE DE TOLBIAC;2002;PARIS HAB;30;;;;30;construction neuve;;75013;logement familial;48.828018, 2.36746
79 RUE PERNETY;2012;RIVP;1;1;;;;construction neuve;;75014;logement familial;48.834976, 2.316229
7-9 RUE SAINTE APOLLINE 8-10 RUE BLONDEL;2010;ELOGIE;6;6;;;;acquisition réhabilitation;;75003;logement familial;48.868802, 2.35442
7-9, AVENUE LEON BOLLEE;2015;RIVP;15;;;;15;construction neuve;;75013;logement familial;48.818516, 2.364003
7-9, RUE BASFROI;2009;BATIGERE;1;1;;;;acquisition conventionnement;;75011;logement familial;48.854076, 2.379869
7-9, RUE DE L'OURCQ;2007;PARIS HAB;41;;;41;;acquisition réhabilitation;;75019;foyer pour jeunes travailleurs ou résidence pour jeunes;48.887123, 2.384611
7-9, RUE WALDECK ROUSSEAU;2011;RIVP;60;;;60;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75017;site de desserrement de foyer de travailleur migrant;48.880013, 2.286483
7A, BD DE LA CHAPELLE;2010;SABLIERE;132;59;;73;;acquisition réhabilitation;;75010;foyer pour jeunes travailleurs ou résidence pour jeunes;48.884187, 2.35884
8 COUR SAINT PIERRE;2006;AXIMO;29;;;29;;acquisition réhabilitation;;75017;maison relais;48.886648, 2.324363
8 ET 9, SQUARE D'AQUITAINE;2012;PARIS HAB;2;2;;;;construction neuve;;75019;logement familial;48.886473, 2.395461
8, RUE AUGUSTE CHABRIERES;2015;PARIS HAB;28;8;;14;6;acquisition réhabilitation;;75015;logement familial;48.835488, 2.288697
8, RUE DES BOIS;2015;PARIS HAB;9;;;;9;acquisition conventionnement;;75019;logement familial;48.877872, 2.396617
8, RUE DES PLATRIERES;2011;PARIS HAB;15;9;;;6;acquisition réhabilitation;;75020;logement familial;48.86779, 2.389533
8, RUE MARGUERIN;2009;RIVP;16;9;;2;5;acquisition réhabilitation;;75014;logement familial;48.827314, 2.328555
80 BD JOURDAN, 71-73 RUE DU PERE CORENTIN, 146 RUE DE LA TOMBE ISSOIRE;2011;LOGIS.TR.;11;6;;2;3;construction neuve;;75014;logement familial;48.828159, 2.332593
80, RUE DE TURENNE;2012;ELOGIE;9;5;;2;2;construction neuve;;75003;logement familial;48.860761, 2.364695
80, RUE DU FAUBOURG SAINT ANTOINE;2007;PARIS HAB;28;19;;9;;acquisition conventionnement;;75012;logement familial;48.851561, 2.374577
80-84, RUE DE LOURMEL;2008;PIER.LUM;12;;9;3;;construction neuve;;75015;logement familial;48.845002, 2.287248
81, BD VINCENT AURIOL;2011;SIEMP;6;;;;6;acquisition réhabilitation;;75013;logement familial;48.834441, 2.367247
8-10 ET 43-45, RUE DAVY;2013;COOP.FAM.;39;;;39;;construction neuve;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.891818, 2.322542
8-10 RUE BERGER;2008;ELOGIE;7;7;;;;acquisition conventionnement;;75001;logement familial;48.860926, 2.348295
8-10, RUE JEAN DOLENT (RS POUR APPRENTIS);2001;ANTIN;64;;;64;;acquisition réhabilitation;;75014;foyer pour jeunes travailleurs ou résidence pour jeunes;48.834014, 2.337256
8-12, PASSAGE KRACHER;2008;LERICHEMONT;32;;;32;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75018;site de desserrement de foyer de travailleur migrant;48.89502, 2.348546
66, RUE DES PLANTES;2010;RSF;98;98;;;;construction neuve;;75014;établissement d'hébergement pour personnes âgées dépendantes;48.826931, 2.320108
67 BIS, RUE DUTOT;2007;COALLIA;30;;;30;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75015;site de desserrement de foyer de travailleur migrant;48.837758, 2.30799
6-8 PASSAGE DE LA BRIE;2006;SIEMP;9;;;;9;acquisition réhabilitation;;75019;logement familial;48.881036, 2.372049
6-8 RUE BOUCRY;2011;TOIT&JOIE;19;19;;;;acquisition conventionnement;;75018;logement familial;48.893833, 2.362384
6-8 RUE DES THERMOPYLES 13-15 RUE DE PLAISANCE;2006;PARIS HAB;16;;;16;;construction neuve;projet abandonné refinancé;75014;maison relais;48.832486, 2.319278
6-8 RUE DES THERMOPYLES 13-15 RUE DE PLAISANCE;2010;PARIS HAB;4;;;;4;construction neuve;régularisation sur agrément antérieur;75014;logement familial;48.832486, 2.319278
6-8, RUE PHILIDOR;2014;HSF;1;;;;1;construction neuve;;75020;logement familial;48.850409, 2.408296
69 RUE DE CLERY;2007;FREHA;10;;;10;;acquisition réhabilitation;;75002;maison relais;48.869088, 2.349719
69 RUE DE CLERY;2008;FREHA;2;;;2;;acquisition réhabilitation;;75002;maison relais;48.869088, 2.349719
69-71, BD PONIATOWSKI;2013;TOIT&JOIE;23;12;;4;7;construction neuve;;75012;logement familial;48.833587, 2.402309
7 AVENUE DE SAINT OUEN;2015;AXIMO;4;3;;1;;acquisition conventionnement;;75017;logement familial;48.888128, 2.325618
7 BIS, COUR DE LA FERME SAINT LAZARE;2015;AXIMO;1;;;1;;acquisition conventionnement;;75010;logement familial;48.876177, 2.354792
7 RUE BARBETTE;2008;ELOGIE;4;4;;;;acquisition conventionnement;;75003;logement familial;48.85868, 2.360976
7 RUE BOURET;2004;SEMIDEP;8;8;;;;construction neuve;;75019;logement familial;48.880823, 2.375732
7, BOULEVARD GOUVION SAINT CYR 92, RUE LAUGIER;2016;PARIS HAB;14;6;;8;;acquisition réhabilitation;;75017;logement familial;48.88521, 2.2911
7, PASSAGE BRULON 10, RUE DRIANCOURT;2014;RIVP;13;6;;3;4;construction neuve;;75012;logement familial;48.849361, 2.380509
7, RUE DE CALAIS;2013;ELOGIE;23;13;;6;4;acquisition réhabilitation;;75009;logement familial;48.882286, 2.331241
7, RUE EMILE LEVEL 8, RUE BOULAY;2015;ELOGIE;3;;;3;;acquisition réhabilitation;;75017;logement familial;48.892877, 2.317969
7, RUE GUENOT;2009;RIVP;17;9;;4;4;construction neuve;;75011;logement familial;48.851275, 2.392155
7, RUE VAUQUELIN;2009;ELOGIE;17;;;17;;acquisition réhabilitation;;75005;maison relais;48.841206, 2.347779
71 RUE DE CASTAGNARY;2013;PARIS HAB;101;101;;;;construction neuve;;75015;résidence pour étudiants;48.832117, 2.307494
71, RUE DE LA CONVENTION;2013;ELOGIE;1;1;;;;acquisition conventionnement;;75015;logement familial;48.842782, 2.284474
71, RUE DE LA CONVENTION;2014;ELOGIE;3;3;;;;acquisition réhabilitation;;75015;logement familial;48.842782, 2.284474
71, RUE DE LA PLAINE;2005;BATIGERE;20;10;;;10;construction neuve;;75020;logement familial;48.850342, 2.404978
71, RUE SAINT DOMINIQUE;2007;BATIGERE;20;16;;4;;acquisition réhabilitation;projet abandonné refinancé;75005;logement familial;48.849891, 2.34517
71, RUE SAINT DOMINIQUE;2007;BATIGERE;11;8;;3;;construction neuve;projet abandonné refinancé;75005;logement familial;48.849891, 2.34517
7-11, RUE NICOLAS HOUEL;2010;PARIS HAB;2;2;;;;acquisition conventionnement;;75005;logement familial;48.841802, 2.361566
71-75, RUE DE L'AMIRAL MOUCHEZ;2009;PARIS HAB;52;52;;;;construction neuve;;75013;résidence pour étudiants;48.820793, 2.343424
72 RUE DE CLICHY;2016;SIEMP;1;;;1;;acquisition conventionnement;;75009;logement familial;48.882228, 2.328131
72 RUE DU RUISSEAU;2011;PARIS HAB;8;6;;1;1;construction neuve;;75018;logement familial;48.895235, 2.341114
72 RUE MARX DORMOY;2016;PARIS HAB;1;1;;;;construction neuve;;75018;logement familial;48.88939, 2.360097
72 RUE MARX DORMOY 99-101 RUE PHILIPPE DE GIRARD;2014;PARIS HAB;14;14;;;;construction neuve;;75018;logement familial;48.888133, 2.360793
72, AVENUE FELIX FAURE;2010;RIVP;30;;;30;;construction neuve;;75015;foyer pour jeunes travailleurs ou résidence pour jeunes;48.840076, 2.285242
72, RUE DE CLICHY;2011;SIEMP;10;5;;3;2;acquisition réhabilitation;;75009;logement familial;48.882228, 2.328131
72, RUE DES HAIES;2005;PARIS HAB;47;;;;47;construction neuve;;75020;résidence pour étudiants;48.854637, 2.403216
72, RUE JULIEN LACROIX 24 RUE LESAGE;2005;SIEMP;10;;;;10;acquisition réhabilitation;;75020;logement familial;48.872322, 2.382543
73 RUE DE LA CONVENTION;2010;ELOGIE;2;2;;;;acquisition réhabilitation;;75015;logement familial;48.842703, 2.284647
74, RUE DES PLANTES;2014;PARIS HAB;1;;;1;;acquisition réhabilitation;;75014;logement familial;48.825533, 2.318907
74, RUE DES POISSONNIERS;2010;SIEMP;4;4;;;;construction neuve;;75018;logement familial;48.890875, 2.351611
75 RUE DE LA PROCESSION;2006;ADOMA;218;;;218;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75015;foyer de travailleurs migrants;48.837646, 2.307997
75 RUE DE L'AMIRAL MOUCHEZ;2007;PARIS HAB;33;;;;33;construction neuve;projet abandonné;75013;logement familial;48.820793, 2.343424
75 RUE RIQUET;2009;SIEMP;4;4;;;;acquisition réhabilitation;;75018;logement familial;48.889998, 2.361463
75, BD KELLERMANN;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.820324, 2.348387
76-86 RUE DE LA GLACIERE - ILOT 13;2009;SAGECO;46;46;;;;acquisition conventionnement;;75013;logement familial;48.832638, 2.344404
77 AVENUE DE VILLIERS;2009;PARIS HAB;16;11;;5;;acquisition réhabilitation;;75017;logement familial;48.883862, 2.303829
77 RUE DES HAIES;2009;CASP;1;;;1;;acquisition réhabilitation;;75020;logement familial;48.854847, 2.403399
77, AVENUE DE SAINT OUEN;2007;ANTIN;31;;;31;;acquisition réhabilitation;;75017;maison relais;48.892499, 2.327086
77, RUE BLOMET;2009;PARIS HAB;14;9;;1;4;acquisition conventionnement;;75015;logement familial;48.841555, 2.302605
7-7BIS RUE SCHEFFER;2016;PARIS HAB;1;;;1;;acquisition conventionnement;;75016;logement familial;48.860649, 2.283907
78 RUE DE MAUBEUGE;2010;ELOGIE;12;6;;3;3;acquisition réhabilitation;;75009;logement familial;48.879144, 2.348005
78-82 RUE D'AUTEUIL;2009;PARIS HAB;123;78;;;45;construction neuve;;75016;logement familial;48.847766, 2.264925
7-9 RUE SAINTE APOLLINE 8-10 RUE BLONDEL;2010;ELOGIE;2;;;2;;acquisition réhabilitation;;75003;logement familial;48.868802, 2.35442
7-9, RUE DES ARQUEBUSIERS;2009;RIVP;3;3;;;;acquisition conventionnement;;75003;logement familial;48.859213, 2.366731
8 - 8 BIS , RUE POLONCEAU;2007;PARIS HAB;13;;;;13;acquisition réhabilitation;;75018;logement familial;48.885836, 2.352282
8 - 8 BIS , RUE POLONCEAU;2007;PARIS HAB;3;;;;3;construction neuve;;75018;logement familial;48.885836, 2.352282
8 PASSAGE DUHESME;2004;SIEMP;1;;;;1;construction neuve;;75018;logement familial;48.89611, 2.346937
8 RUE MERCOEUR;2012;BATIGERE;12;;;;12;construction neuve;;75011;logement familial;48.857135, 2.38368
8, RUE DE L'HARMONIE;2009;BATIGERE;6;6;;;;acquisition conventionnement;;75015;logement familial;48.832282, 2.306767
8, RUE DE MONTMORENCY (LYCEE NICOLAS FLAMEL);2012;RIVP;13;9;;2;2;construction neuve;;75003;logement familial;48.862685, 2.356649
8, RUE FROMENTIN;2005;SEMIDEP;43;22;;9;12;acquisition réhabilitation;;75009;logement familial;48.882475, 2.334703
80, RUE DE LA TOMBE ISSOIRE;2015;HAB.CONF.;29;29;;;;construction neuve;;75014;résidence pour étudiants;48.828159, 2.332593
80-82 RUE DE TOLBIAC;2009;PAX.P.P.;25;;;25;;construction neuve;;75013;maison relais;48.826959, 2.365834
81, BD VINCENT AURIOL (LOGTS INSERTION);2009;SIEMP;10;8;;;2;acquisition réhabilitation;;75013;logement familial;48.834441, 2.367247
81, RUE RIQUET;2010;SIEMP;16;11;;;5;acquisition réhabilitation;;75018;logement familial;48.890086, 2.360569
8-10 RUE DE LATRAN;2004;SEMIDEP;13;9;;4;;acquisition réhabilitation;;75005;logement familial;48.849783, 2.346318
8-10, PASSAGE DE LA BONNE GRAINE;2015;PARIS HAB;29;14;;15;;acquisition conventionnement;;75011;logement familial;48.851817, 2.377031
8-10, RUE DU TEXEL;2003;ELOGIE;28;21;;7;;acquisition conventionnement;;75014;logement familial;48.836805, 2.319816
8-12, RUE DES BOURDONNAIS 32-36, RUE SAINT GERMAIN L'AUXERROIS;2011;RIVP;28;28;;;;acquisition conventionnement;;75001;logement familial;48.858312, 2.344861
